TU	Promoter
C0067	
C0293	
C0299	
C0343-dbpA	dbpAp2
C0343-dbpA	
C0362	
C0465	
C0614	
C0664	
C0719	
IS128	
aaeR	aaeRp9
aaeR	aaeRp6
aaeR	aaeRp7
aaeR	aaeRp
aaeR	aaeRp10
aaeB	aaeBp8
aaeB	aaeBp3
aaeB	aaeBp7
aaeXAB	aaeXp
aas-lplT	
lplT	lplTp3
aat	aatp5
abgABT-ogt	
ogt	ogtp
abgR	
abrB	
accA	accAp
accBC	accBp
accD	accDp
aceBAK	aceBp
aceK	aceKp
ackA	ackAp
ackA-pta	
pta	
acnA	acnAp3
acnA	acnAp2
acnA	acnAp1
acnB	acnBp2
acnB	acnBp
acpH	
acpT	
acrAB	acrAp
acrB	acrBp
acrD	acrDp
acrD	acrDp2
acrEF	acrEp
acrR	acrRp
acrZ	acrZp
acs-yjcH-actP	acsp1
acs-yjcH-actP	acsp2
actP	actPp
ada-alkB	adap
alkB	alkBp
add	addp6
adeD	adep6
adeD	adep7
adeD	adep
adeP	
adeQ	yicOp11
adeQ	yicOp10
adeQ	yicOp5
adeQ	yicOp1
adhE	adhEp1
adhE	adhEp2
adhP	adhPp5
adiA	adiAp
adiC	adiCp7
adiY	adiYp
adk	adkp
adrA	adrAp
aegA	
aer	aerp
aes	aesp
agaR	agaRp
agaS-kbaY-agaBCDI	agaSp
agp	agpp
agrA	agrAp
agrB	agrBp
ahpCF	ahpCp2
ahpCF	ahpCp
ahpF	ahpFp
ahr	yjgBp9
ahr	yjgBp8
ahr	yjgBp5
ahr	yjgBp10
aidB	aidBp
ais	aisp4
ais	aisp7
ais	aisp8
alaA	alaAp9
alaA-yfbR	alaAp7
yfbR	yfbRp3
yfbR	yfbRp4
alaC	alaCp
alaE	alaEp1
alaE	alaEp11
alaS	alaSp
alaWX	alaXp4
alaWX	alaXp5
alaWX	alaWp
alaWX	alaXp2
aldA	aldAp
aldB	aldBp
alkA	alkAp
allA	allAp
allDCE	allDp
allE	ylbAp2
allR	allRp
allS	allSp
alpA	
alr	alrp2
alr	alrp1
alsK	alsKp1
alx	alxp4
alx	alxp3
alx	alxp5
amiA-hemF	amiAp
hemF	hemFp
amiC	amiCp7
amiC	amiCp6
amn	amnp1
ampC	ampCp
ampDE	ampD
ampDE	ampDp5
ampG	ampGp6
ampG	ampGp5
ampG	ampGp4
ampH	ampHp1
ampH	ampHp2
amyA	amyAp
anmK	anmKp9
ansA-pncA	
ansB	ansBp2
ansB	ansBp1
ansP	ansPp2
ansP	ansPp1
apbE	apbEp1
aphA	
appA	appAp
appCBXA	appCp
appY	appYp
appY	appYp2
apt	aptp
aqpZ	aqpZp3
aqpZ	aqpZp2
araBAD	araBp
araC	araCp
araE	araEp
araFGH	araFp
araFGH	araFp2
araH	araHp7
araJ	araJp
arcA	arcAp1
arcA	arcAp2
arcA	arcAp4
arcA	arcAp6
arcA	arcAp7
arcA	arcAp5
arcA	arcAp3
arcB	arcBp
arcZ	arcZp
arfA	arfAp3
argA	argAp
argCBH	argCp
argD	argDp
argE	argEp2
argE	argEp1
argF	argFp
argG	argGp
argI	argIp
argO	argOp
argP	argPp
argR	argRp1
argR	argRp2
argS	argSp4
argT-hisJQMP	argTp
hisJQMP	hisJp
argU	argUp
argW	argWp
argX-hisR-leuT-proM	argXp
arnBCADTEF	
aroF-tyrA	aroFp
aroG	aroGp
aroH	aroHp1
aroH	aroHp2
aroKB-damX-dam-rpe-gph-trpS	aroKp2
aroKB-damX-dam-rpe-gph-trpS	aroKp1
dam-rpe-gph-trpS	damp2
dam-rpe-gph-trpS	damp1
damX-dam-rpe-gph-trpS	damXp
rpe-gph-trpS	rpep
trpS	trpSp
aroL-yaiA-aroM	aroLp
