TU	Promoter
thrLABC	thrLp
thrL	thrLp
yaaX	yaaXp4
yaaA	yaaAp3
yaaA	yaaAp5
yaaJ	yaaJp4
talB	talBp
htgA	htgAp2
htgA	htgAp1
yaaW	yaaWp3
yaaI	yaaIp4
yaaI	yaaIp3
yaaI	yaaIp2
dnaK-tpke11-dnaJ	dnaKp1
dnaK-tpke11-dnaJ	dnaKp2
dnaK-tpke11-dnaJ	dnaKp3
insL-1	insLp5
insL-1	insLp6
hokC	hokCp4
nhaAR	nhaAp2
nhaAR	nhaAp1
rpsT	rpsTp2
rpsT	rpsTp1
ribF-ileS-lspA-fkpB-ispH	ribFp
ileS-lspA-fkpB-ispH	ileSp1
ileS-lspA-fkpB-ispH	ileSp2
ileS-lspA-fkpB-ispH	ileSp3
lspA-fkpB-ispH	lspAp
dapB	dapBp2
dapB	dapBp1
carAB	carAp1
carAB	carAp2
carB	carBp
caiF	caiFp
caiE	caiEp7
caiE	caiEp5
caiE	caiEp3
caiTABCDE	caiTp
fixABCX	fixAp
yaaU	yaaUp
kefFC	kefFp2
folA	folAp
apaH	apaHp4
apaGH	apaGp
rsmA-apaGH	rsmAp
lptD	impp1
lptD	impp2
djlA	djlAp3
lptD-surA-pdxA	impp3
rluA	rluAp1
hepA-rluA	hepAp
hepA	hepAp2
polB	polBp
araBAD	araBp
araC	araCp
yabI	yabIp
thiQ	thiQp2
sroA	sroAp
sgrR-sroA-tbpA-thiPQ	sgrRp
sgrST-setA	sgrSp
leuD	leuDp4
leuLABCD	leuLp
leuL	leuLp
leuLABCD	leuLp2
leuO	leuOp1
leuO	leuOp
leuO	leuOp2
ilvIH	ilvIp4
ilvIH	ilvIp3
ilvIH	ilvIp2
ilvIH	ilvIHp1
cra	fruRp8
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	mraZp
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	mraWp1
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	ftsLp1
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	ftsLp2
ftsQ	ftsQp2
ftsQAZ	ftsQp1
ftsAZ	ftsAp1
ftsZ	ftsZp4
ftsZ	ftsZp3
ftsZ	ftsZp2
lpxC	lpxCp1
lpxC	lpxCp2
ppdD-hofBC	ppdDp
nadC	nadCp
ampDE	ampDp5
ampDE	ampD
aroP	aroPp2
aroP	aroPp1
pdhR-aceEF-lpd	pdhRp
aceEF	aceEp
lpd	lpdAp
yacH	yacHp3
yacH	yacHp5
acnB	acnBp
acnB	acnBp2
yacL	yacLp
yacC-speED	yacCp
cueO	cueOp
gcd	gcdp1
gcd	gcdp2
hpt	hptp
can	canp
yadE	yadEp3
yadE	yadEp4
panD	panDp
yadD	yadDp3
yadD	yadDp5
yadD	yadDp4
panC	panCp4
panC	panCp2
panBC	panBp
htrE	htrEp5
htrE	htrEp1
yadV-htrE	yadVp3
yadV-htrE	yadVp2
yadV-htrE	yadVp1
yadN	yadNp1
yadN	yadNp8
yadN	yadNp7
pcnB-folK	pcnBp1
pcnB-folK	pcnBp3
pcnB-folK	pcnBp2
pcnB-folK	pcnBp4
gluQ	gluQp1
dksA-gluQ	dksAp2
dksA-gluQ	dksAp1
dksA-gluQ	dksAp3
sfsA-dksA	sfsAp
hrpB	hrpBp2
mrcB	mrcBp
fhuACDB	fhuAp
hemL	hemLp1
hemL	hemLp
hemL	hemLp2
clcA	clcAp10
erpA	erpAp
yadS	yadSp6
yadS	yadSp7
yadS	yadSp5
mtn-btuF-yadS	mtnp
dgt	dgtp1
dgt	dgtp2
degP	degPp
cdaR	cdaRp
dapD	dapDp
glnD	glnDp
tff-rpsB-tsf	rpsBp
pyrH	pyrHp
frr	frrp3
frr	frrp
frr	frrp6
dxr	dxrp3
dxr	dxrp4
dxr	dxrp5
dxr	dxrp1
ispU	ispUp1
ispU	ispUp2
cdsA	cdsAp3
cdsA	cdsAp2
rseP	rsePp
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	bamAp2
bamA	bamAp
hlpA-lpxD-fabZ-lpxA	hlpAp
lpxD	lpxDp
accA	accAp
yaeR	yaeRp3
yaeQ-arfB-nlpE	yaeQp3
yaeP-rof	yaePp
yaeQ-arfB-nlpE	yaeQp6
yaeQ-arfB-nlpE	yaeQp
yaeF	yaeFp1
proS	proSp
metNIQ	metNp
gmhB	gmhBp
rrsH-ileV-alaV-rrlH-rrfH	rrsHp1
rrsH-ileV-alaV-rrlH-rrfH	rrsHp2
dkgB	dkgBp
yafDE	yafDp
yafC	yafCp6
mltD	mltDp4
mltD	mltDp3
yafS	yafSp2
gloB	gloBp5
dnaQ	dnaQp1
dnaQ	dnaQp2
rnhA	rnhAp
aspV	aspVp
yafT	yafTp4
yafT	yafTp5
yafT	yafTp6
yafV	yafVp
ivy	ivyp4
ivy	ivyp5
fadE	fadEp
lpcA	lpcAp1
yafK	yafKp6
dinJ-yafQ	dinJp
yafL	yafLp6
rayT	rayTp1
rayT	rayTp8
dinB-yafNOP	dinBp
yafNOP	yafNp
pepD	pepDp3
pepD	pepDp2
pepD	pepDp1
gpt	gptp
frsA	frsAp
crl	crlp1
crl	crlp2
phoE	phoEp
proBA	proBp8
proBA	proBp11
thrW	thrWp
ykfI	ykfIp7
ykfBF-yafX-ykfGH-yafW-ykfI	ykfBp1
ykfBF-yafX-ykfGH-yafW-ykfI	ykfBp2
yafZ	yafZp
insN-1I-1O-1	insN-1p
mmuPM	mmuPp1
mmuPM	mmuPp6
mmuPM	mmuPp7
mmuPM	mmuPp5
insH-1	insHp5
mmuPM	mmuPp2
yagEF	yagEp3
yagEF	yagEp8
yagGH	yagGp9
yagGH	yagGp6
yagGH	yagGp7
yagGH	yagGp8
yagI	yagIp1
argF	argFp
yagK	yagKp6
yagL	yagLp7
yagN	yagNp8
yagN	yagNp3
yagN	yagNp5
yagN	yagNp4
ykgJ	ykgJp2
ykgJ	ykgJp3
ecpBCDE	matCp2
ecpBCDE	matCp1
ecpA	matBp5
ecpR	matAp1
ecpR	matAp9
ecpR	matAp5
ecpR	matAp10
ecpR	matAp7
ykgL	ykgLp1
ykgMO	ykgMp
ykgR	ykgRp
rclC	ykgBp10
rclC	ykgBp3
rclC	ykgBp4
rclC	ykgBp7
rclC	ykgBp9
rclA	ykgCp8
rclR	ykgDp3
rclA	ykgCp4
rclR	ykgDp2
rclABC	ykgCp1
ykgEFG	ykgEp9
ykgEFG	ykgEp8
ykgEFG	ykgEp7
ykgEFG	ykgEp10
betA	betAp7
betA	betAp5
betIBA	betIp
betT	betTp
yahA	yahAp2
yahA	yahAp1
yahC	yahCp5
yahE	yahEp
yahM	yahMp4
yahM	yahMp5
yahO	yahOp
yahN	yahNp5
yahN	yahNp6
prpR	prpRp
prpBCDE	prpBp
codBA	codBp
cynR	cynRp
cynTSX	cynTp
cynTS	cynTp
lacZYA	lacZp1
lacZYA	lacZp1
lacZYA	lacZp3
lacZYA	lacZp3
lacZYA	lacZp2
lacZYA	lacZp2
lacZYA	lacZp4
lacZYA	lacZp4
lacI	lacIp
mhpABCDFE	mhpAp
mhpR-lacI	mhpRp
mhpR-lacI	mhpRp1
mhpT	mhpTp
yaiO	yaiOp6
yaiO	yaiOp4
yaiO	yaiOp5
yaiP	yaiPp5
yaiS	yaiSp12
yaiS	yaiSp9
yaiS	yaiSp13
yaiS	yaiSp14
tauABCD	tauAp
hemB	hemBp7
insEF-2F-2	insFp5
insEF-2F-2	insFp4
yaiV	yaiVp4
ampH	ampHp2
ampH	ampHp1
sbmA-yaiW	sbmAp
yaiZ	yaiZp6
yaiZ	yaiZp
yaiY	yaiYp5
yaiY	yaiYp6
iraP	iraPp1
iraP	iraPp2
phoA-psiF	phoAp
adrA	adrAp
proC	proCp
yaiI	yaiIp7
yaiI	yaiIp6
yaiI	yaiIp3
aroL-yaiA-aroM	aroLp
yaiE	yaiEp
mak	makp4
araJ	araJp
sbcC	sbcCp2
sbcDC	sbcDp
phoBR	phoBp
brnQ-proY	brnQp
malZ	malZp
malZ	malZp
queA	queAp
tgt-yajC	tgtp
yajC-secDF	yajCp
yajD	yajDp6
yajD	yajDp5
tsx	tsxp2
tsx	tsxp1
nrdR-ribDE-nusB-thiL-pgpA	nrdRp
yajI	yajIp6
ribE-nusB-thiL-pgpA	ribEp
xseB-ispA-dxs-yajO	xseBp
thiI	thiIp
yajL	yajLp2
yajQ	yajQp
yajR	yajRp
cyoE	cyoEp3
cyoABCDE	cyoAp
ampG	ampGp5
ampG	ampGp6
ampG	ampGp4
bolA	bolAp2
bolA	bolAp1
tig	tigp1
tig	tigp
tig	tigp3
clpPX	clpPp1
clpPX	clpPp3
clpPX	clpPp2
clpX-lon	clpXp
lon	lonp
hupB	hupBp4
hupB	hupBp4
hupB	hupBp3
hupB	hupBp3
hupB	hupBp2
hupB	hupBp2
hupB	hupBp1
hupB	hupBp1
ppiD	ppiDp2
ppiD	ppiDp1
ybaV	ybaVp3
fadM	fadMp1
ybaO	ybaOp
glnK-amtB	glnKp
tesB	tesBp
ybaY	ybaYp3
ffs	ffsp6
ffs	ffsp5
ffs	ffsp7
ylaC	ylaCp
hha	hhap6
tomB-hha	tomBp1
acrB	acrBp
acrAB	acrAp
acrR	acrRp
mscK	kefAp
ybaM	ybaMp3
ybaN	ybaNp1
ybaN	ybaNp8
ybaN	ybaNp6
ybaN	ybaNp9
apt	aptp
dnaX	dnaXp
ybaB-recR	ybaBp
htpG	htpGp3
htpG	htpGp1
htpG	htpGp2
adk	adkp
hemH	hemHp
aes	aesp
ybaL	ybaLp
fsr	fsrp8
fsr	fsrp6
fsr	fsrp5
fsr	fsrp9
ushA	ushAp6
micM	micMp
ybaQ	ybaQp3
ybaQ	ybaQp
ybaP	ybaPp3
ybaP	ybaPp4
ybaP	ybaPp6
copA	copAp
ybaST	ybaSp
cueR	cueRp6
ybbJ	ybbJp1
qmcA-ybbJ	qmcAp
fetAB	ybbLp6
fetAB	ybbLp
ybbN	ybbNp1
ybbN	ybbNp2
ybbO	ybbOp4
tesA-ybbO	tesAp
rhsD-ybbC-ylbH-ybbD	rhsDp8
ybbB	selUp4
ybbB	selUp5
allS	allSp
allA	allAp
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	gclp
ybbY-glxK	ybbYp
allE	ylbAp2
allDCE	allDp
fdrA-ylbE_1E_2F-ybcF	fdrAp4
purEK	purEp
cysS	cysSp
ybcI	ybcIp5
ybcJ	ybcJp4
ybcJ	ybcJp3
ybcJ	ybcJp5
ybcJ	ybcJp7
folD-ybcJ	folDp
sfmA	sfmAp4
sfmA	sfmAp6
sfmCD	sfmCp5
sfmCD	sfmCp4
fimZ	fimZp3
argU	argUp
intD	intDp6
ybcK	ybcKp7
ybcK	ybcKp1
ybcK	ybcKp5
ybcLM	ybcLp7
ybcLM	ybcLp2
ybcN-ninE-ybcO-rusA-ylcG	ybcNp6
ybcN-ninE-ybcO-rusA-ylcG	ybcNp5
ybcQ	quuDp3
insH-2	insHp4
nmpC	nmpCp
essD-rrrD-rzpD	essDp
borD	borDp
ybcW	ybcWp4
ybcW	ybcWp7
appY	appYp
appY	appYp2
ompT	ompTp
ybcH	ybcHp4
cusRS	cusRp
cusCFBA	cusCp
pheP	phePp
nfsB	nfsBp
ybdF	ybdFp5
ybdJ	ybdJp4
ybdJ	ybdJp5
ybdJ	ybdJp2
ybdJ	ybdJp3
ybdK	ybdKp3
hokE	hokEp
insL-2	insLp5
entD	entDp2
entD	entDp1
fepA-entD	fepAp
fes-ybdZ-entF-fepE	fesp
fepDGC	fepDp2
fepDGC	fepDp1
entS	entSp2
entS	entSp1
fepB	fepBp
entCEBAH	entCp
entH	ybdBp
cstA	cstAp1
cstA	cstAp2
cstA	cstAp3
ybdD	ybdDp2
ybdH	ybdHp6
ybdH	ybdHp7
ybdL	ybdLp3
ybdM	ybdMp2
ybdN	ybdNp
ahpCF	ahpCp2
dsbG	dsbGp
ahpCF	ahpCp
ahpF	ahpFp
uspG	uspGp
ybdR	ybdRp6
rnk	rnkp6
rnk	rnkp7
rna	rnap
citT	citTp6
citT	citTp4
citCDEFXG	citCp1
dpiBA	dpiBp
citCDEFXG	citCp2
dpiBA	dpiBp2
dcuC	dcuCp
pagP	pagPp
cspE	cspEp1
cspE	cspEp2
crcB	crcBp3
crcB	crcBp4
tatE	tatEp3
lipA	lipAp
ybeF	ybeFp7
ybeF	ybeFp4
ybeF	ybeFp6
ybeF	ybeFp5
lipB	lipBp3
lipB	lipBp2
ybeD-lipB	ybeDp
dacA	dacAp2
dacA	dacAp3
rlpA	rlpAp7
rlpA	rlpAp5
rsfS-rlmH-mrdAB-rlpA	rsfAp
cobC	cobCp7
cobC	cobCp6
ybeL	ybeLp
ybeR-djlB	ybeRp7
ybeQ	ybeQp5
ybeR-djlB	ybeRp5
ybeQ	ybeQp12
ybeQ	ybeQp10
ybeR-djlB	ybeRp6
ybeQ	ybeQp8
ybeQ	ybeQp11
ybeQ	ybeQp1
ybeT	ybeTp8
ybeU-djlC	ybeUp4
ybeU-djlC	ybeUp5
hscC	hscCp5
hscC	hscCp7
rihA	rihAp3
gltI-sroC-gltJKL	gltIp1
insH-3	insHp3
insH-3	insHp5
insH-3	insHp6
lnt	lntp4
ybeZYX-lnt	ybeZp
metT-leuW-glnUW-metU-glnVX	metTp
asnB	asnBp
umpH	umpHp
nagC	nagCp1
nagC	nagCp2
nagA	nagAp
nagBAC-umpH	nagBp
nagE	nagEp
glnS	glnSp2
glnS	glnSp1
chiP-ybfN	ybfMp
fur	furpa
fur	furpa
fur	furpb
fur	furpb
uof-fur	uofp
uof-fur	uofp
fldA-uof-fur	fldAp
fldA-uof-fur	fldAp
ybfE	ybfEp
ybfF	ybfFp1
seqA-pgm	seqAp
